Elevation,Transect,Quadrat,Species,Cover,Collection,Long_Form,Photos
700,B,2,BluishApoToninia,3,TB700.2.12,Toninia bluish pruinose apos white bullate thallus,
700,B,2,HyperIsidiateNiebla,T,TB700.2.13,terete isiadiate Niebla unbranched,
700,B,2,SorMarginsRamalina,T,TB700.2.14,Ramalina sorediate margins fine,
700,B,3,Pentagenella,6,TB700.2.10,,
700,B,3,Chrysothrix,3,TB700.1.12,,
700,B,3,BrownSmoothAspicilia,1,TB700.2.8,,
700,B,3,HetFoll,1,TB700.2.1,,
700,B,3,HyperIsidiateNiebla,1,TB700.2.13,,
700,B,3,NieblaGranulans,3,TB700.2.6,,
700,B,3,MinksiaSax,1,TB700.1.10,,
700,B,3,BuellaJorgensis,2,TB700.1.6,,
700,B,3,Caljorgensis,T,TB700.1.1,,
700,B,3,ManilaSegmentedApoHyperbullateRoccellina,4,TB700.1.7,,
700,B,3,BlackRugosePlacynthiella,2,TB700.2.9,,
700,B,3,ManilaBacidia,5,TB700.3.1,Bacidia manila,
700,B,3,XanthoriaAscendens,T,TB700.2.3,,
700,B,3,SorediateAmygdalaria,1,TB700.2.7,,
700,B,3,YelRhizocarponSchizidia,T,TB700.3.2,Yellow Rhizocarpon with schizidia,
700,B,3,WhiteTinyBlackApoRhizo,1,TB700.3.3,White tiny black apothecia Rhizocarpn,
700,B,3,SorMarginsRamalina,T,TB700.2.14,,
700,B,3,TinyGrayRhizo,T,TB700.3.4,Tiny gray Rhizocarpon,
700,B,3,BluishApoToninia,T,TB700.2.12,,
700,B,3,MicrobullateShitBrownBuellia,T,TB700.1.9,,
700,B,3,LirRhizocarpon,3,TB700.1.2,,
700,B,3,Trentepohlia,T,no coll,Trentepohlia free living,
700,B,3,Rinodina,4,TB700.3.6,Rinodina,
700,B,3,FlattenedLepro,T,TB700.3.7,Flattened Leprocaulon,
700,B,3,ContortedPentagenella,T,TB700.3.5,contorted gray-brown Pentagenella,
700,B,3,RamalinaSolid,1,TB700.1.8,,
700,B,4,NieblaCeruchis,1,T700.4.1,Niebla ceruchis faveolate,
700,B,4,Chrysothrix,T,TB700.1.12,,
700,B,4,TinyGrayRhizocarpon,T,TB700.3.4,,
700,B,4,SorediateAmygdalaria,5,TB700.2.7,,
700,B,4,WhiteStipBuellia,T,TB700.2.4,,
700,B,4,EpinecralAspicilia,2,TB700.4.2,Off-white epinecral layer Aspicilia,
700,B,4,SandArthonia,T,TB700.6.1,sand Arthonia,
700,B,4,YelRhizocarponSchizidia,T,TB700.3.2,,
700,B,4,StipLecBlaApoWhite,6,TB700.4.4,stipitate lecanorine black apothecia white thallus,
700,B,4,MinksiaSax,T,TB700.1.10,,
700,B,4,HyperIsidiateNiebla,T,TB700.2.13,,
700,B,5,Arctothelium,T,TB700.5.1,Arctothelium,
700,B,5,YelRhizocarponSchizidia,T,TB700.3.2,,
700,B,5,SorediateAmygdalaria,2,TB700.2.7,,
