"","Species","Transect","Collection","Elevation","Quadrat","Collection2","Cover","Time_Surface","Time_Absorption","Angle","N","SpN","Genus","Order","Family","Form","Photobiont","Number","Sample","Mass",".N","d15N",".C","d13C","Notes"
"316","WhiteBlackLecideateRoccellina","B","TB700.1.5","700","6","TB_700_1_5","T",1.5,90,120,80,121,"Roccellina","Arthoniales","","Sub-Fruticose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"317","WhiteBuelliaJor","B","TB800.10.2","800","10","TB_800_10_2","3",1.25,46,105,157,123,"Buellia","Caliciales","","Crustose","Trebouxia","2",NA,NA,NA,NA,NA,NA,""
"318","whiteLignBuellia","B","TB600.4.6","600","4","TB_600_4_6","T",1,4.33333333333333,120,140,125,"Buellia","Caliciales","","Crustose","Trebouxia","6",NA,NA,NA,NA,NA,NA,""
"319","WhiteStipBuellia","B","TB700.2.4","700","2","TB_700_2_4","2",0,0,NA,94,127,"Buellia","Caliciales","","Crustose","Trebouxia","4",NA,NA,NA,NA,NA,NA,""
"320","WhiteStipBuellia","B","TB700.2.4","700","4","TB_700_2_4","T",0,0,NA,94,127,"Buellia","Caliciales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"321","WhiteTinyBlackApoRhizo","B","TB700.3.3","700","3","TB_700_3_3","1",1,52.5,105,106,128,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia","3",NA,NA,NA,NA,NA,NA,""
"322","XanthoriaAscendens","B","TB700.2.3","700","10","TB_700_2_3","T",NA,NA,NA,93,129,"Xanthoria","Teloschistales","","Sub-Fruticose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"323","XanthoriaAscendens","B","TB700.2.3","700","2","TB_700_2_3","1",NA,NA,NA,93,129,"Xanthoria","Teloschistales","","Sub-Fruticose","Trebouxia","3","B700_2.3.raw",4.662,0.35,9.2,2.72,-27.13,""
"324","XanthoriaAscendens","B","TB700.2.3","700","3","TB_700_2_3","T",NA,NA,NA,93,129,"Xanthoria","Teloschistales","","Sub-Fruticose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"325","Xylographa","B","TB600.4.2","600","4","TB_600_4_2","T",0,2.75,NA,138,130,"Xylographa","Arthoniales","","Crustose","Trentepohlia","2",NA,NA,NA,NA,NA,NA,"on wood"
"326","YellowRhizocarpon","B","TB500.1.1","500","1","TB_500_1_1","12",1.66666666666667,NA,120,4,133,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia","1",NA,NA,NA,NA,NA,NA,""
"327","YellowRhizocarpon","B","TB500.1.1","500","10","TB_500_1_1","T",1.66666666666667,NA,120,4,133,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"328","YellowRhizocarpon","B","TB500.1.1","500","2","TB_500_1_1","T",1.66666666666667,NA,120,4,133,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"329","YellowRhizocarpon","B","TB500.1.1","500","3","TB_500_1_1","T",1.66666666666667,NA,120,4,133,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"330","YellowRhizocarpon","B","TB500.1.1","500","6","TB_500_1_1","T",1.66666666666667,NA,120,4,133,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"331","YellowRhizocarpon","B","TB500.1.1","500","7","TB_500_1_1","T",1.66666666666667,NA,120,4,133,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"332","YellowRhizocarpon","B","TB500.1.1","500","8","TB_500_1_1","T",1.66666666666667,NA,120,4,133,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"333","YellRhizoCentApo","B","TB600.2.1","600","2","TB_600_2_1","T",1,14.5,90,134,135,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia","1",NA,NA,NA,NA,NA,NA,""
"334","YellRhizoCentApo","B","TB600.2.1","600","3","TB_600_2_1","2",1,14.5,90,134,135,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"335","YellRhizoCentApo","B","TB600.2.1","600","5","TB_600_2_1","1",1,14.5,90,134,135,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"336","YellRhizoCentApo","B","TB600.2.1","600","6","TB_600_2_1","T",1,14.5,90,134,135,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"337","YellRhizoCentApo","B","TB600.2.1","600","7","TB_600_2_1","T",1,14.5,90,134,135,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"338","YellRhizoCentApo","B","TB600.2.1","600","8","TB_600_2_1","T",1,14.5,90,134,135,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"339","YelRhizocarponSchizidia","B","TB600.1.5","600","1","TB_600_1_5","1",1,12,120,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia","5",NA,NA,NA,NA,NA,NA,""
"340","YelRhizocarponSchizidia","B","TB600.1.5","600","10","TB_600_1_5","T",1,12,120,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"341","YelRhizocarponSchizidia","B","TB600.1.5","600","3","TB_600_1_5","3",1,12,120,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"342","YelRhizocarponSchizidia","B","TB600.1.5","600","6","TB_600_1_5","T",1,12,120,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"343","YelRhizocarponSchizidia","B","TB600.1.5","600","9","TB_600_1_5","T",1,12,120,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"344","YelRhizocarponSchizidia","B","TB700.3.2","700","10","TB_700_3_2","T",1,5,NA,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"345","YelRhizocarponSchizidia","B","TB700.3.2","700","3","TB_700_3_2","T",1,5,NA,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia","2",NA,NA,NA,NA,NA,NA,""
"346","YelRhizocarponSchizidia","B","TB700.3.2","700","4","TB_700_3_2","T",1,5,NA,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"347","YelRhizocarponSchizidia","B","TB700.3.2","700","5","TB_700_3_2","T",1,5,NA,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"348","YelRhizocarponSchizidia","B","TB700.3.2","700","6","TB_700_3_2","T",1,5,NA,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"349","YelRhizocarponSchizidia","B","TB700.3.2","700","8","TB_700_3_2","T",1,5,NA,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"350","YelRhizocarponSchizidia","B","TB700.3.2","700","9","TB_700_3_2","1",1,5,NA,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"351","YelRhizocarponSchizidia","B","TB800.1.5","800","1","TB_800_1_5","T",1,27,90,105,136,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia","5",NA,NA,NA,NA,NA,NA,""
"352","YelRhizoFlatBlackApo","B","TB700.10.3","700","10","TB_700_10_3","1",1,NA,100,121,137,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia","3",NA,NA,NA,NA,NA,NA,""
"353","YelRhizoNoSchiz","B","TB400.1.2","400","1","TB_400_1_2","T",2.33333333333333,19.3888888888889,NA,124,138,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia","2",NA,NA,NA,NA,NA,NA,""
"354","YrhizoSor","B","TB800.6.2","800","6","TB_800_6_2","2",1,55,100,152,138,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia","2",NA,NA,NA,NA,NA,NA,""
"355","YrhizoSor","B","TB800.6.2","800","7","TB_800_6_2","T",1,55,100,152,138,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"356","YrhizoSor","B","TB800.6.2","800","8","TB_800_6_2","T",1,55,100,152,138,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
